"Group.1","Fielding_InnOuts","Fielding_PO","Fielding_A","Fielding_E","Fielding_DP","Fielding_PB","Fielding_WP","Fielding_SB","Fielding_CS","Awards_PitchingTripleCrown","Awards_TripleCrown","Awards_BaseballMagazineAllStar","Awards_MostValuablePlayer","Awards_TSNAllStar","Awards_TSNGuideMVP","Awards_TSNMajorLeaguePlayerOfTheYear","Awards_TSNPitcherOfTheYear","Awards_TSNPlayerOfTheYear","Awards_RookieOfTheYear","Awards_BabeRuthAward","Awards_LouGehrigMemorialAward","Awards_WorldSeriesMVP","Awards_CyYoungAward","Awards_GoldGlove","Awards_FiremanOfTheYear","Awards_AlLStarGameMVP","Awards_HutchAward","Awards_RobertoClemnteAward","Awards_RolaidsReliefManAward","Awards_NLCSMVP","Awards_ALCSMVP","Awards_SilverSluger","Awards_BranchRickeyAward","Awards_HankAaronAward","Awards_TSNReliverOfTheYear","Awards_ComebackPlayerOfTheYear","Awards_OutstandingDHAward","Awards_RelieverOfTheYear","AllstarGames","TotalAllStarAwards"
"N",17316.5787309048,3473.45652173913,1277.89717978848,138.568155111633,294.008813160987,16.5581668625147,20.3237367802585,51.6057579318449,26.256169212691,0,0.00117508813160987,0.210340775558167,0.0334900117508813,0.308460634547591,0.00235017626321974,0.0099882491186839,0,0.0229142185663925,0.027027027027027,0.0099882491186839,0.0099882491186839,0.0117508813160987,0,0.292596944770858,0,0.0111633372502938,0.0082256169212691,0.0082256169212691,0,0.00763807285546416,0.00528789659224442,0.162749706227967,0.00176263219741481,0.00411280846063455,0,0.00117508813160987,0,0,0.885428907168038,0.518801410105758
"Y",20814.735483871,6612.16774193548,2371.37419354839,261.522580645161,580.154838709677,18.1096774193548,14.6451612903226,40.7935483870968,22.1935483870968,0,0.0903225806451613,4.23870967741935,0.548387096774194,2.94193548387097,0.141935483870968,0.212903225806452,0,0.309677419354839,0.0967741935483871,0.0774193548387097,0.12258064516129,0.0580645161290323,0,1.39354838709677,0,0.109677419354839,0.0709677419354839,0.0903225806451613,0,0.0193548387096774,0.0258064516129032,0.851612903225806,0.0387096774193548,0,0,0.00645161290322581,0,0,5.3741935483871,7.18064516129032
"N",16561.4876635936,3119.25226763737,1497.84826326197,140.26876778442,358.006130803658,51.514589529947,68.1174359468485,165.328772024844,84.923883719472,0,0.0342694807323223,0.911968238701899,0.246183173285774,0.881936490606975,0.0484358475876966,0.115851776829624,0,0.178349519573849,0.162209821872864,0.0994700826073391,0.0994700826073391,0.107794365094819,0,1.10108885275986,0,0.110548566932988,0.090347950303838,0.090347950303838,0,0.0935946990868915,0.0725467228905444,0.73139005444633,0.0419590244354444,0.0938158676023273,0,0.0342694807323223,0,0,1.68729015058527,1.27585508781401
"Y",27720.5059613682,4665.30974712451,2582.89217273062,206.249323823649,577.33154783801,57.7035153605064,72.1852542714027,211.211892644496,111.686312615463,0,0.329654323781901,6.36965601934483,0.831159012300612,3.01347344498053,0.489350346933981,0.580942994880922,0,0.63006639451711,0.296608394334083,0.268121988881291,0.329018293238074,0.260835562406348,0,3.28019791569807,0,0.370463765784902,0.257603274444655,0.287572507750787,0,0.138215328990649,0.159071457306253,2.10069113051073,0.193527439168027,0,0,0.0803219328902499,0,0,5.73341582089445,7.23220697732596
