"Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Batting_1B","Batting_Average","Slugging","OPS","ISO","wOBA"
775,1773,203,470,84,6,18,196,10,5,181,211,14,23,17,16,47,362,0.265087422447829,0.349689791314157,0.338183642749624,0.0846023688663283,0.160818393127842
1432,5164,614,1302,204,39,251,815,18,20,260,1201,37,15,11,52,149,808,0.252130131680868,0.452556158017041,0.28719723183391,0.200426026336174,0.199139970663733
2189,8365,1322,2574,317,109,29,586,234,92,1198,571,25,43,112,18,83,2119,0.307710699342499,0.382068141063957,0.396404821280133,0.0743574417214585,0.173826773622252
1370,4123,397,1010,183,13,90,513,7,10,461,622,66,11,55,41,125,724,0.244967256851807,0.361144797477565,0.319672131147541,0.116177540625758,0.172313829321663
1324,4369,386,1103,135,26,60,457,19,24,333,459,52,29,36,32,131,882,0.252460517280842,0.336461432822156,0.307579256770943,0.0840009155413138,0.134326172787094
544,1579,163,401,51,10,13,156,6,6,177,124,6,14,20,1,60,327,0.253958201393287,0.323622545915136,0.334274421230943,0.0696643445218493,0.150385042492918
624,1407,167,309,56,5,9,86,36,21,127,198,10,6,22,5,36,239,0.219616204690832,0.285714285714286,0.286084142394822,0.0660980810234541,0.133192312703583
1652,5721,745,1576,301,22,186,756,23,18,450,861,22,24,36,47,140,1067,0.275476315329488,0.433315853871701,0.328420378083947,0.157839538542213,0.19554768488746
1971,6279,718,1579,270,34,80,607,102,53,634,1034,69,69,82,37,201,1195,0.251473164516643,0.343526039178213,0.325117538110842,0.0920528746615704,0.159996834532374
1580,5388,661,1328,174,76,13,390,244,43,592,363,0,44,278,0,0,1065,0.246473645137342,0.314216778025241,0.326029216467463,0.067743132887899,0.150415504648074
1668,6353,1224,2019,401,128,238,1164,70,57,774,518,0,33,55,0,7,1252,0.317802612938769,0.533606170313238,0.394692737430168,0.215803557374469,0.263354832402235
1300,4620,725,1296,185,35,80,467,78,52,561,399,3,14,134,14,121,996,0.280519480519481,0.387662337662338,0.359186024188904,0.107142857142857,0.181203956972724
425,865,114,217,42,1,38,145,2,4,71,136,7,2,1,12,22,136,0.250867052023121,0.433526011560694,0.305263157894737,0.182658959537572,0.204153552492047
909,2828,201,712,94,9,50,304,5,12,207,344,45,17,11,32,87,559,0.251768033946252,0.344413012729844,0.303501945525292,0.0926449787835927,0.135821388614676
1102,3245,482,893,138,19,10,240,117,52,371,480,9,5,68,19,55,726,0.275192604006163,0.338674884437596,0.348626373626374,0.0634822804314329,0.150088350316717
1630,5439,731,1583,279,17,134,774,59,24,291,580,41,73,26,66,158,1153,0.291046148189005,0.422504136789851,0.331743056738797,0.131457988600846,0.17007676733013
2150,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,128,3,102,221,1345,0.296780813133256,0.540336026676927,0.407615613067459,0.243555213543671,0.2897553111183
1931,6082,772,1564,234,43,189,773,85,83,852,1126,67,17,40,52,195,1098,0.257152252548504,0.402992436698454,0.347422533200057,0.145840184149951,0.204068252595156
1212,3581,432,915,128,15,155,540,17,18,545,577,77,25,20,37,81,617,0.25551521921251,0.429488969561575,0.35458452722063,0.173973750349064,0.220954171734371
955,2937,339,775,107,23,9,222,90,36,187,164,10,20,42,20,51,636,0.263874702076949,0.325161729656112,0.310366624525917,0.0612870275791624,0.122105516804058
2830,9908,1299,2866,488,49,384,1628,34,34,1062,1441,187,14,9,99,298,1945,0.289261203068228,0.464675010092854,0.35567987007128,0.175413807024627,0.210424926578561
2039,7117,964,1981,320,23,242,1013,137,73,762,926,52,30,27,85,158,1396,0.27834761837853,0.431783054657861,0.346885163872905,0.153435436279331,0.199931352304205
874,2280,285,573,76,13,1,196,23,25,382,165,0,6,26,0,33,483,0.251315789473684,0.297368421052632,0.360194902548726,0.0460526315789473,0.161359595202399
1575,5984,887,1838,315,103,96,987,235,28,473,182,0,50,153,0,0,1324,0.307152406417112,0.442346256684492,0.362840018441678,0.13519385026738,0.191878008298755
789,2202,195,508,98,11,24,195,4,9,233,589,36,7,16,13,44,375,0.230699364214351,0.317892824704814,0.304684317718941,0.0871934604904632,0.151732947498967
960,3120,351,714,127,11,181,495,1,2,273,856,21,19,1,27,67,395,0.228846153846154,0.450641025641026,0.292526897353882,0.221794871794872,0.228832065535401
1913,7182,1048,2004,320,77,32,591,145,75,827,487,0,23,212,0,0,1575,0.279030910609858,0.358395989974937,0.355328685258964,0.0793650793650794,0.165024900398406
2019,7060,982,1790,289,38,242,1039,75,46,1031,923,69,75,65,57,149,1221,0.253541076487252,0.408073654390935,0.352182901617415,0.154532577903683,0.216277140053961
2528,9421,1305,2583,407,90,512,1636,50,53,763,1236,198,70,45,96,229,1574,0.274174716059866,0.499522343700244,0.330048309178744,0.225347627640378,0.228389499605989
972,3007,430,811,143,28,19,288,108,37,292,318,13,13,33,28,45,621,0.26970402394413,0.354838709677419,0.334131736526946,0.085134685733289,0.157487466185753
586,1778,162,452,109,3,39,220,1,4,175,299,12,3,11,13,56,301,0.25421822272216,0.384701912260967,0.3199593702387,0.130483689538808,0.187373939703628
1428,4759,715,1219,216,30,241,716,66,47,551,1234,49,34,16,34,100,732,0.256146249212019,0.466064299222526,0.335440684269245,0.209918050010506,0.237434152749109
866,3306,580,962,83,47,16,255,143,0,440,0,0,29,60,0,0,816,0.290986085904416,0.359044162129462,0.379072847682119,0.0680580762250454,0.162135046357616
941,3378,418,938,163,9,18,314,57,21,304,209,7,16,102,33,81,748,0.277679100059207,0.347246891651865,0.337175020101849,0.0695677915926584,0.145660418904404
1054,3512,398,925,220,21,98,424,11,17,279,480,38,28,22,32,105,586,0.263382687927107,0.421697038724374,0.319916904700078,0.158314350797267,0.198792761605035
1223,4146,532,1009,142,38,10,429,153,18,396,142,0,76,284,0,0,819,0.243367100820068,0.303183791606368,0.320701602425292,0.0598166907863001,0.143728713728887
1100,4014,516,1073,128,47,10,391,140,0,279,0,0,37,135,0,0,888,0.267314399601395,0.330094668659691,0.320785219399538,0.0627802690582959,0.128805635103926
2016,7629,1130,2165,442,71,79,710,109,3,748,627,0,97,269,0,102,1573,0.283785555118626,0.391401232140516,0.355204153882464,0.10761567702189,0.185075926362993
393,1049,54,237,31,3,9,66,3,6,87,168,18,5,6,6,33,194,0.225929456625357,0.286939942802669,0.286835222319093,0.0610104861773117,0.116567936226749
1571,4839,609,1308,248,40,118,611,151,73,357,668,63,37,28,30,112,902,0.270303781773094,0.411241992147138,0.323389701691051,0.140938210374044,0.180276461538462
1017,3330,250,765,123,18,81,375,10,10,172,610,69,27,25,31,123,543,0.22972972972973,0.35045045045045,0.270786516853933,0.120720720720721,0.141616843311372
1309,4568,625,1146,226,17,221,718,47,26,287,790,27,47,10,47,109,682,0.250875656742557,0.452933450087566,0.299050313194585,0.202057793345009,0.213924136529866
1141,3586,393,969,150,17,104,449,13,12,421,470,42,28,39,30,127,698,0.270217512548801,0.408533184606804,0.348831488314883,0.138315672058003,0.193968282376336
480,1953,228,439,51,25,3,143,26,5,40,36,0,1,0,0,0,360,0.224782386072709,0.28110599078341,0.240722166499498,0.0563236047107015,0.0861654964894684
546,1605,163,432,95,11,26,220,6,4,143,163,0,3,16,5,52,300,0.269158878504673,0.390654205607477,0.329157175398633,0.121495327102804,0.182587129840547
1544,5145,833,1424,229,57,164,703,50,33,521,638,11,34,51,25,95,974,0.276773566569485,0.439067055393586,0.345676855895197,0.162293488824101,0.208378403920196
1019,3477,450,1010,165,51,25,272,30,20,258,258,2,17,45,10,57,769,0.290480299108427,0.388840954846132,0.341573631047315,0.0983606557377049,0.160068404255319
895,2517,317,685,121,19,62,319,37,16,149,409,12,15,20,17,75,483,0.272149384187525,0.409217322208979,0.314677538917717,0.137067938021454,0.172378034251675
2292,8198,1236,2135,366,28,338,1276,285,120,805,1069,91,267,16,115,196,1403,0.260429373017809,0.435594047328617,0.341715503462973,0.175164674310808,0.218484226382612
393,661,79,153,18,4,14,90,6,5,54,150,6,3,0,12,11,117,0.231467473524962,0.334341906202723,0.287671232876712,0.102874432677761,0.144242541436464
1463,5660,955,1759,182,82,39,617,254,0,425,14,0,30,166,0,0,1456,0.310777385159011,0.392579505300353,0.362060506950123,0.0818021201413427,0.145539787408013
1320,5208,685,1473,196,31,22,360,49,25,260,243,3,19,58,27,114,1224,0.282834101382488,0.345046082949309,0.317736670293798,0.0622119815668203,0.117070078025767
2386,9526,1600,2930,473,243,86,1575,315,0,616,270,0,183,145,0,0,2128,0.307579256770943,0.435334872979215,0.361162227602906,0.127755616208272,0.186023186440678
2016,5784,676,1316,175,33,20,389,167,75,576,839,22,42,155,45,83,1088,0.227524204702628,0.279564315352697,0.29998448890957,0.0520401106500692,0.128711501945525
2405,8995,1151,2514,425,56,201,1106,55,79,836,776,84,38,60,80,255,1832,0.279488604780434,0.406225680933852,0.340536737360539,0.126737076153419,0.178608170299037
1403,4826,587,1239,267,18,123,589,19,20,428,687,25,44,32,50,123,831,0.256734355573974,0.395980107749689,0.319932685115931,0.139245752175715,0.189836332894984
1210,4578,642,1262,232,15,134,668,170,51,377,955,30,61,6,46,123,881,0.27566622979467,0.420707732634338,0.335835638087712,0.145041502839668,0.191246184419714
1539,5853,974,1726,389,21,381,1239,88,41,683,961,91,55,4,78,193,935,0.294891508628054,0.563813429010764,0.369470685260159,0.26892192038271,0.282768926725448
1587,6123,814,1702,308,34,265,1002,67,36,331,771,53,49,0,83,165,1095,0.277968316184877,0.469214437367304,0.316125113877923,0.191246121182427,0.203216133476198
1741,6478,865,1823,311,66,206,942,30,31,470,636,27,27,45,53,109,1240,0.281414016671812,0.445199135535659,0.330108138873079,0.163785118863847,0.195689044422225
731,2107,324,484,113,13,69,246,30,13,346,723,6,17,10,11,26,289,0.229710488846701,0.393925011865211,0.341394598952035,0.16421452301851,0.235206949494949
1154,2301,217,508,55,14,2,142,43,17,136,384,26,23,58,6,53,437,0.22077357670578,0.259452411994785,0.270478507704785,0.0386788352890048,0.0934600819672131
1484,5045,685,1377,328,24,114,601,43,28,488,797,16,24,47,37,133,911,0.272943508424182,0.415262636273538,0.337683232034322,0.142319127849356,0.200625815704554
2063,7398,1123,1963,394,67,195,860,91,60,853,1443,25,57,159,58,165,1307,0.265341984320086,0.415788050824547,0.34341381783409,0.150446066504461,0.20948046996763
2158,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,19,11,90,201,1254,0.267432750065291,0.475842256463829,0.341649341649342,0.208409506398537,0.233138237709727
982,2878,214,696,98,6,18,260,12,20,328,251,52,13,49,21,76,574,0.241834607366227,0.298818624044475,0.320061728395062,0.0569840166782488,0.132644040150565
411,1125,83,287,46,12,0,108,2,9,62,45,0,2,17,0,0,229,0.255111111111111,0.317333333333333,0.295206055508831,0.0622222222222222,0.11977897392767
1500,4651,610,1274,190,30,79,476,104,76,349,551,11,31,87,32,145,975,0.273919587185551,0.37862825198882,0.326683784317598,0.104708664803268,0.157983174980206
817,1926,227,442,109,15,24,169,44,14,106,429,19,25,57,10,38,294,0.229491173416407,0.339044652128764,0.277213352685051,0.109553478712357,0.15497568359375
1062,3821,549,978,203,67,55,533,42,0,478,572,0,11,0,0,0,653,0.255953938759487,0.387333158858937,0.340371229698376,0.13137922009945,0.203616798143852
587,1690,141,408,74,3,22,192,6,5,139,270,19,16,14,17,53,309,0.241420118343195,0.327810650887574,0.302363050483351,0.0863905325443787,0.144826478567553
912,3028,334,755,167,23,36,387,27,29,284,268,0,13,32,0,80,529,0.249339498018494,0.355350066050198,0.316390977443609,0.106010568031704,0.173648781954887
947,3028,138,516,45,21,2,193,23,0,88,81,0,0,112,0,0,448,0.170409511228534,0.20112285336856,0.193838254172015,0.0307133421400264,0.0628483311938383
1350,5163,809,1550,299,59,242,898,36,0,435,694,0,38,27,0,69,950,0.300213054425721,0.521595971334495,0.358942512420156,0.221382916908774,0.247650993612491
1349,2679,312,690,100,16,54,289,19,14,380,347,36,7,21,27,55,520,0.257558790593505,0.367301231802912,0.348205625606208,0.109742441209406,0.181550539744848
663,1813,150,441,71,6,6,206,11,5,78,117,0,9,61,0,1,358,0.243243243243243,0.298952013237728,0.277894736842105,0.0557087699944843,0.107711263157895
1071,3700,523,970,177,30,75,391,113,55,428,606,22,17,63,35,67,688,0.262162162162162,0.387027027027027,0.338516746411483,0.124864864864865,0.18867974987975
853,2553,236,603,109,9,49,278,32,17,210,422,57,12,33,27,54,436,0.236192714453584,0.343517430473952,0.294432548179872,0.107324716020368,0.148991912568306
2120,7555,1175,2150,321,49,358,1430,30,26,704,414,49,52,9,44,146,1422,0.28457974851092,0.482197220383852,0.347815679233992,0.197617471872932,0.223344642427161
561,1330,96,287,37,3,3,78,4,0,76,134,0,3,30,0,46,244,0.215789473684211,0.254887218045113,0.259758694109297,0.0390977443609022,0.0954231369765791
779,2506,379,692,113,9,101,382,19,16,276,510,10,17,0,26,68,469,0.276137270550678,0.449321628092578,0.348672566371681,0.173184357541899,0.215925115452931
709,2018,196,539,88,29,23,256,13,5,160,196,0,5,34,0,0,399,0.267096134786918,0.373637264618434,0.322491983508933,0.106541129831516,0.16329647274393
683,2030,175,488,106,6,47,257,3,6,139,409,23,6,10,23,53,329,0.240394088669951,0.367980295566502,0.287989080982712,0.127586206896552,0.16402583908046
1384,4136,422,1053,150,23,58,343,45,46,298,569,31,30,64,17,108,822,0.254593810444874,0.344052224371373,0.308190136130328,0.089458413926499,0.141249348314607
860,2413,310,657,153,10,81,369,47,24,206,438,19,32,11,29,50,413,0.2722751761293,0.444674678823042,0.333955223880597,0.172399502693742,0.214059526493799
612,1745,204,425,60,10,27,171,16,15,142,252,11,16,31,23,46,328,0.243553008595989,0.335816618911175,0.30269989615784,0.0922636103151862,0.146326579634465
1228,4536,749,1171,190,74,28,345,428,31,619,451,0,48,74,0,0,879,0.2581569664903,0.351190476190476,0.353257735921584,0.0930335097001763,0.184455737074765
970,2117,214,499,90,11,27,275,12,20,221,329,19,5,24,31,72,371,0.235710911667454,0.32687765706188,0.305391743892165,0.0911667453944261,0.154916263269639
1704,6381,934,1906,401,27,274,1141,152,73,355,1078,32,41,5,73,176,1204,0.298699263438333,0.498824635637047,0.336058394160584,0.200125372198715,0.218299237312995
1383,5706,819,1521,208,95,33,835,206,0,268,129,0,15,18,0,0,1185,0.266561514195584,0.35366281107606,0.301218901319085,0.0871012968804767,0.131607780931708
1147,4192,629,1205,139,75,17,324,182,68,344,161,0,21,109,0,0,974,0.287452290076336,0.368559160305344,0.344524906736888,0.0811068702290076,0.147596927803379
2850,10876,1844,3060,668,55,291,1175,414,124,1160,1753,68,285,101,81,150,2046,0.281353438764252,0.433155571901434,0.363247863247863,0.151802133137183,0.218115274850008
1217,3151,310,861,144,20,29,354,10,12,236,287,36,11,18,27,93,668,0.27324658838464,0.359251031418597,0.323503649635036,0.0860044430339575,0.142087164355267
600,1738,220,432,85,13,76,276,2,4,234,395,2,3,3,14,58,258,0.248561565017261,0.44361334867664,0.336349924585219,0.195051783659379,0.238487871162557
243,488,44,106,12,5,0,29,5,0,23,73,0,11,22,0,0,89,0.217213114754098,0.262295081967213,0.268199233716475,0.0450819672131148,0.105454406130268
1338,4494,966,1216,236,35,41,379,43,50,1153,452,0,31,98,0,0,904,0.270582999554962,0.366043613707165,0.422684043677351,0.0954606141522029,0.236154314899613
426,1044,91,238,40,11,6,80,3,3,154,183,14,4,17,6,23,181,0.227969348659004,0.304597701149425,0.327814569536424,0.0766283524904215,0.164809715242881
767,2415,467,726,133,51,50,340,33,22,331,310,0,47,53,0,0,492,0.300621118012422,0.460041407867495,0.395273899033298,0.159420289855072,0.237208234872896
1947,6042,776,1513,282,55,134,620,171,93,449,877,23,23,108,51,126,1042,0.250413770274743,0.381827209533267,0.302361005331302,0.131413439258524,0.173022256190767
1265,4500,644,1186,264,18,167,616,36,37,445,1037,37,72,27,47,107,737,0.263555555555556,0.441555555555556,0.33629541864139,0.178,0.221692580067635
1444,5296,731,1366,178,62,21,308,105,60,552,462,15,15,62,13,43,1105,0.257930513595166,0.326850453172205,0.328965282505106,0.0689199395770393,0.145032417676164
1407,4522,691,1187,217,33,122,513,65,41,569,937,22,91,48,41,77,815,0.2624944714728,0.406015037593985,0.353628183036569,0.143520566121185,0.211682561045953
1002,3519,347,874,160,20,62,451,19,22,202,407,0,16,51,0,116,632,0.248366013071895,0.358056265984655,0.292213005084292,0.109690252912759,0.153330371956115
761,2300,290,591,116,8,78,365,7,8,248,610,10,6,15,16,80,389,0.25695652173913,0.416086956521739,0.328793774319066,0.159130434782609,0.20599109375
1867,6440,883,1751,276,67,43,848,140,87,723,515,0,71,218,0,2,1365,0.271894409937888,0.355590062111801,0.351810893005253,0.083695652173913,0.168752419131877
1615,5904,1151,1696,319,109,44,695,151,85,1092,436,0,43,168,0,0,1224,0.287262872628726,0.400575880758808,0.402187810768575,0.113313008130081,0.222652962068476
551,1462,117,320,56,5,26,148,3,7,96,246,20,5,16,16,43,233,0.218878248974008,0.317373461012312,0.266624445851805,0.0984952120383037,0.135100962155228
1538,5233,643,1478,250,21,100,658,43,41,653,662,65,13,44,51,156,1107,0.28243837187082,0.395566596598509,0.360336134453781,0.11312822472769,0.182700696686491
2440,9180,1513,3010,578,61,118,1014,24,35,1412,745,180,23,29,96,236,2253,0.327886710239651,0.442701525054466,0.414993931472318,0.114814814814815,0.203958256575824
1540,5562,692,1415,221,40,106,556,40,38,462,558,28,30,97,38,114,1048,0.25440489032722,0.365695792880259,0.313033486539724,0.111290902553038,0.162008476253298
2986,9847,2227,2935,601,77,762,1996,514,141,2558,1539,688,106,4,91,165,1495,0.298060322940997,0.606885345790596,0.444294556419616,0.308825022849599,0.334803844216888
1849,7043,1258,1886,302,66,332,1024,461,169,914,1757,75,53,16,64,107,1186,0.267783614936817,0.470822092858157,0.353356452811494,0.20303847792134,0.238845205650706
2113,7213,1084,2010,408,61,287,1173,45,57,912,1204,128,28,5,97,169,1254,0.27866352419243,0.471509774019132,0.357575757575758,0.192846249826702,0.233029081507018
976,3068,363,833,143,24,56,355,64,39,229,387,26,13,27,16,83,610,0.271512385919166,0.388526727509778,0.323211064341551,0.117014341590613,0.16418696969697
1152,3871,519,1017,216,17,126,555,107,30,303,707,20,80,39,36,74,658,0.262722810643245,0.4249547920434,0.326340326340326,0.162231981400155,0.205666135831382
2264,7245,679,1838,303,26,105,826,38,50,663,608,90,20,142,78,191,1404,0.253692201518288,0.346169772256729,0.314888833374969,0.0924775707384403,0.149345528044467
1780,6683,927,1775,366,28,252,1021,94,53,552,1295,32,69,55,73,168,1129,0.265599281759689,0.441867424809217,0.32479327639962,0.176268143049529,0.210858978897209
1373,4589,645,1260,162,46,151,737,21,19,608,463,20,27,45,28,133,901,0.274569623011549,0.428633689256919,0.360814927646611,0.154064066245369,0.210762958715596
930,2632,410,745,120,28,14,270,66,2,173,186,0,16,48,0,37,583,0.283054711246201,0.365881458966565,0.331088266572138,0.0828267477203647,0.14529400921659
1099,3282,289,831,168,12,69,346,9,14,155,557,13,12,31,19,94,582,0.253199268738574,0.374771480804388,0.287773933102653,0.121572212065814,0.155199594790159
1720,5770,676,1500,257,30,91,626,96,58,500,800,10,63,97,54,145,1122,0.259965337954939,0.362218370883882,0.322999843431971,0.102253032928943,0.164581715540223
784,1581,183,430,50,12,20,158,47,24,143,275,15,1,14,16,33,348,0.271979759645794,0.35673624288425,0.329695577254451,0.0847564832384567,0.141892468134415
1058,2629,378,655,131,22,83,278,98,50,237,469,23,8,14,13,37,419,0.249144161278053,0.410422213769494,0.311742293037755,0.161278052491442,0.19800251396648
930,2517,266,625,91,19,31,244,27,17,240,239,29,9,25,25,90,484,0.248311481922924,0.336511720301947,0.313149408814045,0.0882002383790226,0.147198841419261
1991,7471,1177,2313,465,151,219,1422,58,15,664,591,0,43,177,0,33,1478,0.309597108820774,0.500200776335163,0.369283443384691,0.190603667514389,0.234238493519198
1646,6029,861,1779,385,66,68,789,51,50,796,309,0,34,164,0,155,1260,0.295073809918726,0.414662464753691,0.380376148126549,0.119588654834964,0.207688438547893
2247,8418,987,2191,262,99,15,525,318,105,474,569,45,17,151,43,121,1815,0.260275599904966,0.320266096459967,0.299597855227882,0.0599904965550012,0.111592792185921
1045,3401,343,852,102,38,13,392,81,0,129,0,0,47,71,0,0,699,0.250514554542782,0.314319317847692,0.287391668996366,0.0638047633049103,0.112769974839251
1725,5780,645,1396,200,33,162,654,41,28,470,931,74,25,37,53,136,1001,0.241522491349481,0.371626297577855,0.298830594184576,0.130103806228374,0.164385801087304
2034,7455,1104,2143,318,68,282,1141,105,77,713,1017,97,20,17,63,185,1475,0.287458081824279,0.461837692823608,0.348563810447219,0.174379610999329,0.205666911945058
1086,4222,668,1067,137,54,23,569,125,0,328,234,0,59,28,0,0,853,0.252723827569872,0.327096162955945,0.315469733130831,0.074372335386073,0.141978390106314
697,1605,224,363,50,8,52,175,36,24,184,411,16,19,12,11,43,253,0.226168224299065,0.364485981308411,0.311159978009896,0.138317757009346,0.187373488630061
