"playerID","HallOfFame_years_on_ballot","HallOfFame_max_ballots_cast","HallOfFame_max_needed","HallOfFame_max_votes","HallOfFame_inducted","birthYear","birthMonth","birthDay","birthCountry","birthState","birthCity","deathYear","deathMonth","deathDay","deathCountry","deathState","deathCity","nameFirst","nameLast","nameGiven","weight","height","bats","throws","debut","finalGame","retroID","bbrefID","Batting_total_seasons","Batting_total_teams","Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Fielding_G","Fielding_GS","Fielding_InnOuts","Fielding_PO","Fielding_A","Fielding_E","Fielding_DP","Fielding_PB","Fielding_WP","Fielding_SB","Fielding_CS","Awards_PitchingTripleCrown","Awards_TripleCrown","Awards_BaseballMagazineAllStar","Awards_MostValuablePlayer","Awards_TSNAllStar","Awards_TSNGuideMVP","Awards_TSNMajorLeaguePlayerOfTheYear","Awards_TSNPitcherOfTheYear","Awards_TSNPlayerOfTheYear","Awards_RookieOfTheYear","Awards_BabeRuthAward","Awards_LouGehrigMemorialAward","Awards_WorldSeriesMVP","Awards_CyYoungAward","Awards_GoldGlove","Awards_FiremanOfTheYear","Awards_AlLStarGameMVP","Awards_HutchAward","Awards_RobertoClemnteAward","Awards_RolaidsReliefManAward","Awards_NLCSMVP","Awards_ALCSMVP","Awards_SilverSluger","Awards_BranchRickeyAward","Awards_HankAaronAward","Awards_TSNReliverOfTheYear","Awards_ComebackPlayerOfTheYear","Awards_OutstandingDHAward","Awards_RelieverOfTheYear","AllstarGames","position","position.c","position.1b","position.2b","position.3b","position.ss","position.lf","position.cf","position.rf","Batting_1B","Batting_Average","Slugging","OPS","ISO","wOBA","R.perAB","H.perAB","singles.perAB","doubles.perAB","triples.perAB","HR.perAB","RBI.perAB","SB.perAB","CS.perAB","BB.perAB","SO.perAB","IBB.perAB","HBP.perAB","SH.perAB","SF.perAB","GIDP.perAB","TotalAllStarAwards","HR.outlier","debutYear"
"rodrihe02",0,0,0,0,"N",1967,11,8,"D.R.","Distrito Nacional","Santo Domingo",NA,NA,NA,"","","","Henry","Rodriguez","Henry Anderson",180,73,"L","L","1992-07-05","2002-05-07","rodrh001","rodrihe02",11,5,950,3031,389,784,176,9,160,523,10,14,276,803,33,11,2,23,53,863,788,19574,1853,92,30,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"lf",0,0,0,0,0,1,0,0,439,0.258660508083141,0.481029363246453,0.320562705776714,0.222368855163312,0.238511245465538,0.128340481689211,0.258660508083141,0.144836687561861,0.0580666446717255,0.00296931705707687,0.0527878587924777,0.172550313427912,0.00329924117452986,0.0046189376443418,0.0910590564170241,0.264929066314748,0.0108874958759485,0.00362916529198284,0.000659848234905972,0.00758825470141867,0.0174859782250082,0,FALSE,1992
"rodriiv01",1,442,332,336,"Y",1971,11,27,"P.R.","","Manati",NA,NA,NA,"","","","Ivan","Rodriguez","Ivan",205,69,"R","R","1991-06-20","2011-09-28","rodri001","rodriiv01",21,6,2543,9592,1354,2844,572,51,311,1332,127,64,513,1474,67,58,31,76,337,2436,2356,61218,14922,1233,143,164,127,394,786,661,0,0,0,1,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,7,0,0,0,0,0,0,14,"c",1,0,0,0,0,0,0,0,1910,0.296497080900751,0.464032527105922,0.333528664908682,0.167535446205171,0.194854797483287,0.14115929941618,0.296497080900751,0.199124270225188,0.0596330275229358,0.00531693077564637,0.0324228523769808,0.138865721434529,0.0132402001668057,0.00667222685571309,0.0534820683903253,0.153669724770642,0.00698498748957465,0.00604670558798999,0.00323185988323603,0.0079232693911593,0.0351334445371143,7,TRUE,1991
"roeniga01",0,0,0,0,"N",1954,12,5,"USA","CA","Covina",NA,NA,NA,"","","","Gary","Roenicke","Gary Steven",205,75,"R","R","1976-06-08","1988-07-24","roeng001","roeniga01",12,4,1064,2708,367,670,135,4,121,410,16,20,406,428,16,41,23,26,77,952,690,19689,1801,71,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lf",0,0,0,0,0,1,0,0,410,0.247415066469719,0.434268833087149,0.351147437912606,0.18685376661743,0.242458135860979,0.135524372230428,0.247415066469719,0.151403249630724,0.0498522895125554,0.00147710487444609,0.0446824224519941,0.151403249630724,0.00590841949778434,0.00738552437223043,0.149926144756278,0.158050221565731,0.00590841949778434,0.0151403249630724,0.00849335302806499,0.00960118168389956,0.0284342688330872,0,FALSE,1976
"rojasco01",1,374,281,0,"N",1939,3,6,"Cuba","La Habana","La Habana",NA,NA,NA,"","","","Cookie","Rojas","Octavio Victor",160,70,"R","R","1962-04-10","1977-10-01","rojac101","rojasco01",16,4,1822,6309,714,1660,254,25,54,593,74,68,396,489,30,20,87,59,181,1739,1542,41247,3466,3965,134,971,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"2b",0,0,1,0,0,0,0,0,1327,0.263116183230306,0.336978919004597,0.306014150943396,0.0738627357742907,0.127554871187444,0.113171659533999,0.263116183230306,0.210334442859407,0.0402599461087336,0.00396259312093834,0.00855920114122682,0.0939927088286575,0.0117292756379775,0.0107782532889523,0.0627674750356633,0.077508321445554,0.00475511174512601,0.00317007449675067,0.0137898240608654,0.00935171976541449,0.0286891741955936,1,FALSE,1962
"rolliri01",0,0,0,0,"N",1938,4,16,"USA","PA","Mount Pleasant",NA,NA,NA,"","","","Rich","Rollins","Richard John",185,70,"R","R","1961-06-16","1970-09-26","rollr101","rolliri01",10,4,1002,3303,419,887,125,20,77,399,17,10,266,410,23,39,45,22,80,857,810,21238,755,1624,134,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"3b",0,0,0,1,0,0,0,0,665,0.268543748107781,0.388434756282168,0.328374655647383,0.119891008174387,0.168520099805933,0.126854374810778,0.268543748107781,0.201332122313049,0.0378443838934302,0.00605510142294883,0.023312140478353,0.120799273387829,0.00514683620950651,0.00302755071147442,0.0805328489252195,0.124129579170451,0.00696336663639116,0.0118074477747502,0.0136239782016349,0.00666061156524372,0.0242204056917953,0,FALSE,1961
"romered01",0,0,0,0,"N",1957,12,9,"P.R.","","Santurce",NA,NA,NA,"","","","Ed","Romero","Edgardo Ralph",160,71,"R","R","1977-07-16","1990-06-27","romee001","romered01",12,4,730,1912,218,473,79,1,8,155,9,10,140,159,4,5,36,18,52,701,518,14640,948,1419,81,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ss",0,0,0,0,1,0,0,0,385,0.247384937238494,0.302301255230126,0.297831325301205,0.0549163179916318,0.120942056977306,0.114016736401674,0.247384937238494,0.201359832635983,0.0413179916317992,0.000523012552301255,0.00418410041841004,0.0810669456066946,0.0047071129707113,0.00523012552301255,0.0732217573221757,0.0831589958158996,0.00209205020920502,0.00261506276150628,0.0188284518828452,0.00941422594142259,0.0271966527196653,0,FALSE,1977
"roofph01",0,0,0,0,"N",1941,3,5,"USA","KY","Paducah",NA,NA,NA,"","","","Phil","Roof","Phillip Anthony",190,74,"R","R","1961-04-29","1977-05-30","roofp101","roofph01",15,9,857,2151,190,463,69,13,43,210,11,10,184,504,18,23,40,6,68,838,689,17844,4155,356,63,49,57,174,330,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,338,0.215248721524872,0.319386331938633,0.2834179357022,0.104137610413761,0.153542369991475,0.0883310088331009,0.215248721524872,0.157136215713622,0.0320781032078103,0.00604370060437006,0.0199907019990702,0.097629009762901,0.00511390051139005,0.00464900046490005,0.0855416085541609,0.234309623430962,0.00836820083682008,0.0106927010692701,0.0185960018596002,0.00278940027894003,0.0316132031613203,0,FALSE,1961
"rosepe01",3,456,342,41,"N",1941,4,14,"USA","OH","Cincinnati",NA,NA,NA,"","","","Pete","Rose","Peter Edward",192,71,"B","R","1963-04-08","1986-08-17","rosep001","rosepe01",24,3,3562,14053,2165,4256,746,135,160,1314,198,149,1566,1143,167,107,56,79,247,3528,3437,90298,12394,3349,213,1083,0,0,0,0,0,0,0,1,6,0,0,0,1,1,0,1,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,16,"1b",0,1,0,0,0,0,0,0,3215,0.302853483242012,0.409307621148509,0.375134451123062,0.106454137906497,0.181004092594961,0.154059631395432,0.302853483242012,0.228776773642639,0.0530847505870633,0.00960648971749804,0.0113854692948125,0.0935031665836476,0.0140895182523305,0.0106027182807941,0.111435280722977,0.0813349462748168,0.0118835835764605,0.00761403259090586,0.00398491425318437,0.00562157546431367,0.0175763182238668,6,FALSE,1963
"rowanaa01",0,0,0,0,"N",1977,8,29,"USA","OR","Portland",NA,NA,NA,"","","","Aaron","Rowand","Aaron Ryan",210,72,"R","R","2001-06-16","2011-08-30","rowaa001","rowanaa01",11,3,1358,4374,613,1193,267,18,136,536,67,30,261,914,23,126,31,25,114,1285,1105,29916,2836,62,31,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"cf",0,0,0,0,0,0,1,0,772,0.272748056698674,0.435299497027892,0.330129544504806,0.162551440329218,0.205317363006508,0.140146319158665,0.272748056698674,0.17649748513946,0.061042524005487,0.00411522633744856,0.031092821216278,0.122542295381802,0.0153177869227252,0.00685871056241427,0.0596707818930041,0.208962048468221,0.0052583447645176,0.0288065843621399,0.00708733424782807,0.00571559213534522,0.0260631001371742,1,FALSE,2001
"roystje01",0,0,0,0,"N",1952,10,18,"USA","CA","Sacramento",NA,NA,NA,"","","","Jerry","Royster","Jeron Kennis",165,72,"R","R","1973-08-14","1988-09-28","roysj001","roystje01",16,5,1428,4208,552,1049,165,33,40,352,189,95,411,534,20,11,69,33,90,1390,1020,28079,1778,2503,176,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3b",0,0,0,1,0,0,0,0,811,0.249287072243346,0.332699619771863,0.315462148831225,0.0834125475285171,0.150082231315959,0.131178707224335,0.249287072243346,0.192728136882129,0.0392110266159696,0.00784220532319392,0.00950570342205323,0.0836501901140684,0.0449144486692015,0.0225760456273764,0.097671102661597,0.126901140684411,0.00475285171102662,0.00261406844106464,0.0163973384030418,0.00784220532319392,0.0213878326996198,0,FALSE,1973
