"playerID","HallOfFame_years_on_ballot","HallOfFame_max_ballots_cast","HallOfFame_max_needed","HallOfFame_max_votes","HallOfFame_inducted","birthYear","birthMonth","birthDay","birthCountry","birthState","birthCity","deathYear","deathMonth","deathDay","deathCountry","deathState","deathCity","nameFirst","nameLast","nameGiven","weight","height","bats","throws","debut","finalGame","retroID","bbrefID","Batting_total_seasons","Batting_total_teams","Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Fielding_G","Fielding_GS","Fielding_InnOuts","Fielding_PO","Fielding_A","Fielding_E","Fielding_DP","Fielding_PB","Fielding_WP","Fielding_SB","Fielding_CS","Awards_PitchingTripleCrown","Awards_TripleCrown","Awards_BaseballMagazineAllStar","Awards_MostValuablePlayer","Awards_TSNAllStar","Awards_TSNGuideMVP","Awards_TSNMajorLeaguePlayerOfTheYear","Awards_TSNPitcherOfTheYear","Awards_TSNPlayerOfTheYear","Awards_RookieOfTheYear","Awards_BabeRuthAward","Awards_LouGehrigMemorialAward","Awards_WorldSeriesMVP","Awards_CyYoungAward","Awards_GoldGlove","Awards_FiremanOfTheYear","Awards_AlLStarGameMVP","Awards_HutchAward","Awards_RobertoClemnteAward","Awards_RolaidsReliefManAward","Awards_NLCSMVP","Awards_ALCSMVP","Awards_SilverSluger","Awards_BranchRickeyAward","Awards_HankAaronAward","Awards_TSNReliverOfTheYear","Awards_ComebackPlayerOfTheYear","Awards_OutstandingDHAward","Awards_RelieverOfTheYear","AllstarGames","position","position.c","position.1b","position.2b","position.3b","position.ss","position.lf","position.cf","position.rf","Batting_Average","Batting_1B","Slugging","OPS","ISO","wOBA"
"milnejo01",1,427,321,0,"N",1949,12,28,"USA","GA","Atlanta",2000,1,4,"USA","GA","East Point","John","Milner","John David",185,72,"L","L","1971-09-15",1982-10-03,"milnj101","milnejo01",12,3,1215,3436,455,855,140,16,131,498,31,22,504,473,45,10,7,28,87,987,878,22971,4811,313,57,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1b",0,1,0,0,0,0,0,0,0.2488358556461,568,0.413271245634459,0.344142785319256,0.164435389988359,0.216983320620392
"minchdo01",0,0,0,0,"N",1938,6,24,"USA","AL","Huntsville",2012,3,4,"USA","AL","Huntsville","Don","Mincher","Donald Ray",205,75,"L","R","1960-04-18",1972-10-04,"mincd101","minchdo01",13,7,1400,4026,530,1003,176,16,200,643,24,32,606,668,76,27,29,37,89,1140,1056,28106,9182,696,95,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"1b",0,1,0,0,0,0,0,0,0.249130650769995,611,0.449826130153999,0.348381601362862,0.200695479384004,0.240087186147186
"minosmi01",15,497,373,90,"N",1925,11,29,"Cuba","La Habana","La Habana",2015,3,1,"USA","IL","Chicago","Minnie","Minoso","Saturnino Orestes Armas",175,70,"R","R","1949-04-19",1980-10-05,"minom101","minosmi01",17,4,1835,6579,1136,1963,336,83,186,1023,205,130,814,584,23,192,68,57,185,1791,1287,33888,3416,331,112,36,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"lf",0,0,0,0,0,1,0,0,0.298373613011096,1358,0.459492324061407,0.388510861031144,0.161118711050312,0.230604331277071
"mirabdo01",0,0,0,0,"N",1970,10,18,"USA","AZ","Kingman",NA,NA,NA,"","","","Doug","Mirabelli","Douglas Anthony",205,73,"R","R","1996-08-27",2007-09-30,"mirad001","mirabdo01",12,4,566,1456,162,337,78,2,58,206,3,0,165,415,5,21,5,8,32,524,406,11113,2724,230,24,33,74,11,343,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,0.231456043956044,199,0.40728021978022,0.316969696969697,0.175824175824176,0.223380668693009
"mitchda01",0,0,0,0,"N",1921,8,23,"USA","OK","Colony",1987,1,5,"USA","OK","Tulsa","Dale","Mitchell","Loren Dale",195,73,"L","L","1946-09-15",1956-09-26,"mitcd101","mitchda01",11,2,1127,3984,555,1244,169,61,41,403,45,47,346,119,3,5,21,1,65,940,8,276,1934,43,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"lf",0,0,0,0,0,1,0,0,0.312248995983936,973,0.416164658634538,0.367850553505535,0.103915662650602,0.167597138241403
"mitchke01",1,506,380,2,"N",1962,1,13,"USA","CA","San Diego",NA,NA,NA,"","","","Kevin","Mitchell","Kevin Darnell",186,70,"R","R","1984-09-04",1998-08-03,"mitck001","mitchke01",13,8,1223,4134,630,1173,224,25,234,760,30,31,491,719,87,27,2,42,89,1076,1022,25754,1675,566,86,62,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"lf",0,0,0,0,0,1,0,0,0.283744557329463,690,0.519835510401548,0.36024712398807,0.236090953072085,0.255321033210332
"mittege01",0,0,0,0,"N",1945,6,7,"USA","CA","Berkeley",NA,NA,NA,"","","","George","Mitterwald","George Eugene",195,74,"R","R","1966-09-15",1977-09-24,"mittg101","mittege01",11,2,887,2645,251,623,93,7,76,301,14,17,222,607,38,13,16,23,76,833,715,19461,4551,450,66,71,58,228,404,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,0.235538752362949,447,0.362192816635161,0.295556321047193,0.126654064272212,0.162384153577661
"mizejo01",12,396,297,157,"Y",1913,1,7,"USA","GA","Demorest",1993,6,2,"USA","GA","Demorest","Johnny","Mize","John Robert",215,74,"L","R","1936-04-16",1953-09-26,"mizej101","mizejo01",15,3,1884,6443,1118,2011,367,83,359,1337,28,1,856,524,0,52,20,0,99,1675,0,0,14862,1033,133,1320,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"1b",0,1,0,0,0,0,0,0,0.312121682446065,1202,0.562005277044855,0.397088831451503,0.249883594598789,0.284283172357502
"moellch01",0,0,0,0,"N",1975,2,18,"USA","CA","Upland",NA,NA,NA,"","","","Chad","Moeller","Chad Edward",207,75,"R","R","2000-06-20",2010-09-25,"moelc001","moellch01",11,7,501,1392,146,315,74,7,29,132,2,4,108,331,18,15,16,8,51,479,396,10688,3028,190,22,16,18,0,246,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,0.226293103448276,205,0.352011494252874,0.287590282337492,0.125718390804598,0.171049169435216
"molinbe01",0,0,0,0,"N",1974,7,20,"P.R.","","Rio Piedras",NA,NA,NA,"","","","Bengie","Molina","Benjamin Jose",190,71,"R","R","1998-09-21",2010-10-03,"molib001","molinbe01",13,5,1362,4812,457,1317,217,6,144,711,3,7,208,471,26,49,27,63,173,1285,1234,32235,8122,659,52,70,78,12,680,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,0.273690773067332,950,0.411055694098088,0.306703039750585,0.137364921030756,0.163212886799843
"molitpa01",1,506,380,431,"Y",1956,8,22,"USA","MN","St. Paul",NA,NA,NA,"","","","Paul","Molitor","Paul Leo",185,72,"R","R","1978-04-07",1998-09-27,"molip001","molitpa01",21,3,2683,10835,1782,3319,605,114,234,1307,504,131,1094,1244,100,47,75,109,209,1495,1482,39023,3506,3241,208,664,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,6,"3b",0,0,0,1,0,0,0,0,0.306322104291647,2366,0.447992616520535,0.369052544476624,0.141670512228888,0.198139991656237
"mondari01",1,444,333,2,"N",1945,11,20,"USA","AR","Batesville",NA,NA,NA,"","","","Rick","Monday","Robert James",193,75,"L","L","1966-09-03",1984-06-20,"mondr001","mondari01",19,4,1986,6136,950,1619,248,64,241,775,98,91,924,1513,107,24,46,32,71,1742,1616,42802,3978,118,81,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"cf",0,0,0,0,0,0,1,0,0.263852672750978,1066,0.442959582790091,0.360736368746487,0.179106910039113,0.228376630047082
"mondera01",1,581,436,0,"N",1971,3,12,"D.R.","San Cristobal","San Cristobal",NA,NA,NA,"","","","Raul","Mondesi","Raul Ramon",202,71,"R","R","1993-07-19",2005-05-27,"mondr002","mondera01",13,7,1525,5814,909,1589,319,49,271,860,229,92,475,1130,50,41,2,37,93,1502,1471,39094,2934,112,76,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"rf",0,0,0,0,0,0,0,1,0.273305813553492,950,0.484864121087031,0.330610962776818,0.21155830753354,0.231314864650942
"moneydo01",1,447,336,1,"N",1947,6,7,"USA","DC","Washington",NA,NA,NA,"","","","Don","Money","Donald Wayne",170,73,"R","R","1968-04-10",1983-09-17,"moned101","moneydo01",16,2,1720,6215,798,1623,302,36,176,729,80,51,600,866,45,40,90,53,121,1553,1477,39123,2697,3242,150,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"3b",0,0,0,1,0,0,0,0,0.261142397425583,1109,0.406275140788415,0.327591198610307,0.145132743362832,0.19264216814804
"montawi01",1,427,321,0,"N",1948,4,1,"P.R.","","Catano",NA,NA,NA,"","","","Willie","Montanez","Guillermo",170,72,"L","L","1966-04-12",1982-10-02,"montw101","montawi01",14,9,1632,5843,645,1604,279,25,139,802,32,42,465,751,103,24,10,65,162,1516,1448,38697,10764,747,104,969,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1b",0,1,0,0,0,0,0,0,0.274516515488619,1161,0.402190655485196,0.327184617789589,0.127674139996577,0.167977883698761
